8.777198234832913;0.0	9.908245753490851;0.0	8.686701035668465;0.0	7.760554717005171;0.0	6.858861410480817;0.0	
8.79304987216859;0.0	9.730831936844332;0.0	8.876203203533825;0.0	8.128562118923652;0.0	7.800771576028333;0.0	
7.52824643781785;0.0	9.58487115277362;0.0	8.459632135592457;0.0	7.093681815658184;0.0	6.801927998155681;0.0	
8.27996742804112;0.0	9.67883184901894;0.0	8.330352013843257;0.0	6.937760429657347;0.0	5.999317829635427;0.0	
7.990552721506011;0.0	9.465406724919585;0.0	8.65261169790242;0.0	7.210292291768625;0.0	6.609561431681959;0.0	
8.40252770334728;0.0	9.943879905284774;0.0	9.082333070120994;0.0	7.333762370800601;0.0	6.98975342113134;0.0	
8.305607358912704;0.0	9.983474042222086;0.0	9.196311950622515;0.0	7.279679920575479;0.0	6.309066553986801;0.0	
8.146610677834271;0.0	9.760256975708204;0.0	7.868854260036104;0.0	7.404418027928591;0.0	6.506059243149913;0.0	
8.305815526952347;0.0	9.755170940143932;0.0	8.802989735468996;0.0	7.819676591404556;0.0	7.5056170947666905;0.0	
8.791368924069323;0.0	9.628970977862974;0.0	8.73308310897257;0.0	7.674838724569084;0.0	7.139029305740996;0.0	
8.233556180592538;0.0	9.572184164218418;0.0	8.574075832564791;0.0	7.041507025958504;0.0	6.208205756896908;0.0	
6.310632257283228;0.0	9.440202089386023;0.0	7.717681400144805;0.0	6.989356139996556;0.0	6.091987850421428;0.0	
8.087442868988754;0.0	9.954525156874514;0.0	8.991562900472655;0.0	7.754536353350152;0.0	7.327877955055339;0.0	
8.114990047296057;0.0	9.9543754723352;0.0	9.208524745290767;0.0	6.899375035260363;0.0	6.192794074389155;0.0	
7.905489367210546;0.0	9.855439333278749;0.0	9.009331566013119;0.0	7.6447948571919095;0.0	6.372153066999625;0.0	
8.86099024646313;0.0	9.911870720260932;0.0	8.132595928801116;0.0	7.669345309850191;0.0	6.476159334862114;0.0	
8.730247471960782;0.0	9.715584770386492;0.0	9.024722088895308;0.0	7.978587998472914;0.0	7.933651519420731;0.0	
8.109664081079655;0.0	9.589082029740732;0.0	8.749383776480322;0.0	7.36809930292711;0.0	6.757896931476289;0.0	
7.121279548849808;0.0	9.931369098567878;0.0	8.339433425906691;0.0	7.24781512718656;0.0	6.394053034448699;0.0	
8.26984504150243;0.0	9.370449487316638;0.0	8.308674982982483;0.0	6.814674247899348;0.0	6.392453198131451;0.0	
8.427557964231731;0.0	9.778164113953503;0.0	8.753541849703945;0.0	7.450463321849895;0.0	7.191410676361642;0.0	
8.21959536580665;0.0	9.841358263366105;0.0	9.16281601137354;0.0	6.963422471192726;0.0	6.056940185304216;0.0	
8.958223554799032;0.0	9.896813967914298;0.0	8.356117686171148;0.0	7.187735690966571;0.0	6.106055029433977;0.0	
8.832862408641523;0.0	9.853972437568764;0.0	8.59860010994953;0.0	7.9287578445476745;0.0	7.372431539013889;0.0	
8.94790641377856;0.0	9.500346484852763;0.0	8.726732284090124;0.0	7.841371656135323;0.0	7.280328586493323;0.0	
7.48217333921714;0.0	9.454553868614694;0.0	8.542283640451478;0.0	7.219354088951532;0.0	6.507055660058918;0.0	
7.970461163389931;0.0	9.47339323635938;0.0	8.031212089975835;0.0	7.06581776449842;0.0	5.997140736087469;0.0	
8.340231448791863;0.0	9.590333796176603;0.0	8.728457313673527;0.0	7.39516449968935;0.0	7.097912958454443;0.0	
8.513270048061008;0.0	9.803108069979764;0.0	9.226446476318927;0.0	7.052043510149335;0.0	6.616449466618376;0.0	
7.610073992441097;0.0	9.810085500565899;0.0	9.123009405309302;0.0	7.549914320893944;0.0	6.07586743986035;0.0	
8.676648092035343;0.0	9.888437622382517;0.0	7.7646466349084005;0.0	7.4925579010257835;0.0	6.548727133952922;0.0	
8.835765735568655;0.0	9.61426787337378;0.0	8.948039023155193;0.0	7.943587258969844;0.0	7.73408415512602;0.0	
8.878783524308478;0.0	9.613209849531005;0.0	8.426910869500759;0.0	7.660849435245752;0.0	6.849254810351597;0.0	
7.648688367730569;0.0	9.775023829697501;0.0	8.578964728641047;0.0	7.031541078366576;0.0	6.215412912937621;0.0	
8.35447631423268;0.0	9.252672776996556;0.0	7.73034347275053;0.0	7.090779468452272;0.0	6.331390965965086;0.0	
7.852065071706205;0.0	10.001183114381583;0.0	9.00525045154717;0.0	7.747726141209043;0.0	7.47142367055061;0.0	
7.665094628436112;0.0	10.04517324593303;0.0	9.073753135867443;0.0	6.547000059197518;0.0	6.042103574367358;0.0	
6.89342492152327;0.0	9.95825049947786;0.0	8.704548860045861;0.0	7.511661595161973;0.0	6.4135358559279325;0.0	
8.230866945152005;0.0	9.747622327047353;0.0	8.650492008688017;0.0	7.804720783150062;0.0	6.827941432647869;0.0	
8.531114092777628;0.0	9.660464038505932;0.0	8.803274868576816;0.0	8.051511049502276;0.0	7.708364144266388;0.0	
7.774129549516523;0.0	9.573512658235211;0.0	8.505281487693965;0.0	7.32652465344651;0.0	6.369610730325711;0.0	
7.4748649055782055;0.0	9.703986599466603;0.0	8.447592264954647;0.0	7.012648926584423;0.0	6.36829262654234;0.0	
7.548812028788109;0.0	9.46809534544451;0.0	8.585447616801822;0.0	7.26248687734842;0.0	6.818317887798301;0.0	
8.176241414853399;0.0	9.903214752879318;0.0	9.113482161266134;0.0	7.366843700356365;0.0	6.965820758815481;0.0	
7.803105978651427;0.0	9.916985700537516;0.0	9.219139989132815;0.0	7.242721324418027;0.0	6.277076603684276;0.0	
8.280265970573996;0.0	9.645938927813857;0.0	7.871399632036697;0.0	7.460289096063081;0.0	6.408818605114737;0.0	
7.890471237538258;0.0	9.57904092495621;0.0	8.880438600619572;0.0	7.826603720555862;0.0	7.338827101496501;0.0	
8.407108452330055;0.0	9.651956037763437;0.0	8.711075515601419;0.0	7.751625201453181;0.0	7.159171878956934;0.0	
8.102295346392689;0.0	9.490522714860923;0.0	8.583159425338833;0.0	7.088808226280955;0.0	6.207659750208513;0.0	
7.256327116370958;0.0	9.435003657854569;0.0	7.679390217285194;0.0	7.1202281085862715;0.0	6.1554951083379175;0.0	
8.154085652076141;0.0	9.848488335879232;0.0	8.97526098698513;0.0	7.822606346506183;0.0	7.423505409416439;0.0	
7.991546407051052;0.0	9.901385674691822;0.0	9.148828443781973;0.0	6.895059605846846;0.0	6.3146162239509405;0.0	
7.46893660618374;0.0	9.871134302125471;0.0	9.03170936265632;0.0	7.665751924172746;0.0	6.463754669356991;0.0	
8.776262611956282;0.0	9.84922444370836;0.0	8.223359973321632;0.0	7.604195482682695;0.0	6.302238236459513;0.0	
9.001957975614985;0.0	9.628113826514525;0.0	9.014798016400508;0.0	8.014414375645012;0.0	7.948061111853028;0.0	
8.211125346085801;0.0	9.538620361028542;0.0	8.666173666606248;0.0	7.388156245784273;0.0	6.895885907329459;0.0	
7.104110438312508;0.0	9.86963494492636;0.0	8.236469337039196;0.0	7.274788240027251;0.0	6.146234494477107;0.0	
8.163709839707735;0.0	9.278278609225946;0.0	8.3523195693377;0.0	6.86750582662599;0.0	6.333050656831568;0.0	
8.21215577484744;0.0	9.783074962448328;0.0	8.75750983876894;0.0	7.459797151623778;0.0	7.279146620560013;0.0	
7.786287980265442;0.0	9.794727566459676;0.0	9.157842937940842;0.0	6.838035134592495;0.0	5.9262050145564995;0.0	
8.83245219714077;0.0	9.798725474676012;0.0	8.345985500893635;0.0	7.1714850073878615;0.0	6.326060798679796;0.0	
8.841131447277933;0.0	9.858664589840421;0.0	8.599402026105434;0.0	7.940493381154159;0.0	7.287958565825757;0.0	
8.603340342829728;0.0	9.445494021944215;0.0	8.795984243923149;0.0	7.797253974322127;0.0	7.254367185768283;0.0	
7.194646393292897;0.0	9.477870105331444;0.0	8.537163406621568;0.0	7.06707852983743;0.0	6.3808689638372735;0.0	
7.895940929157953;0.0	9.455246515472023;0.0	8.055082180160436;0.0	7.144450438305781;0.0	6.0782146400362675;0.0	
8.43104344746988;0.0	9.609596103943451;0.0	8.719532595084338;0.0	7.391532386111093;0.0	7.043770732360504;0.0	
8.407960763014376;0.0	9.797610461936245;0.0	9.254072209150172;0.0	7.17733334831275;0.0	6.664248412448817;0.0	
7.613957185226982;0.0	9.748012252196432;0.0	9.152430896712334;0.0	7.533162175099387;0.0	6.341438800371727;0.0	
8.526772962106785;0.0	9.841953005946612;0.0	7.813863448793187;0.0	7.43687782494833;0.0	6.662862640490736;0.0	
8.850381407929644;0.0	9.562523008997502;0.0	8.931988985137352;0.0	7.937156894890528;0.0	7.8146089670837195;0.0	
8.624967303838504;0.0	9.521323243747721;0.0	8.411874055451941;0.0	7.583944244888536;0.0	6.814707386775582;0.0	
6.615427998076545;0.0	9.826785882908961;0.0	8.532550374151239;0.0	7.1793269496619265;0.0	6.219774611130865;0.0	
8.032825720092983;0.0	9.218016443920774;0.0	7.811597656008059;0.0	6.988702753359092;0.0	6.087662530544887;0.0	
7.729039752970689;0.0	9.9582197316449;0.0	9.037564490246638;0.0	7.819809434861191;0.0	7.370668388599358;0.0	
7.896228700016322;0.0	10.014907388324204;0.0	9.09982800269176;0.0	6.607529052385356;0.0	5.9949855365287945;0.0	
6.642413072123849;0.0	9.900703422730007;0.0	8.766769110534664;0.0	7.4435627004793625;0.0	6.302045127581454;0.0	
8.767021080211558;0.0	9.513540334518234;0.0	8.731644833618645;0.0	7.685677920466979;0.0	6.732239393513145;0.0	
8.767092090835316;0.0	9.671574665324828;0.0	8.740086448300087;0.0	7.9928373990426165;0.0	7.655564099638314;0.0	
7.710407125538747;0.0	9.608198881096929;0.0	8.424684730204646;0.0	7.412753482102557;0.0	6.6594171057993785;0.0	
8.197513619432526;0.0	9.649000367176553;0.0	8.449630201593562;0.0	6.898036121566035;0.0	6.023180961788793;0.0	
8.03297846544923;0.0	9.442666237753658;0.0	8.603410665146521;0.0	7.080149811660857;0.0	6.634232644635078;0.0	
7.8362980453783875;0.0	9.897677948791529;0.0	9.179986896523044;0.0	7.182866195935954;0.0	6.943040542855422;0.0	
7.302005327695402;0.0	9.85584919299365;0.0	9.326041417576924;0.0	7.372046385515378;0.0	6.354180025358296;0.0	
8.35148402670749;0.0	9.894618493358744;0.0	7.935596518301069;0.0	7.586455045212428;0.0	6.7802143692938275;0.0	
8.323682492670084;0.0	9.53508619600208;0.0	8.721714180019353;0.0	7.734923792597561;0.0	7.239667331250411;0.0	
8.292011245418735;0.0	9.465611699297016;0.0	8.503628230032463;0.0	7.84790309820446;0.0	7.133852348189382;0.0	
8.10246545857235;0.0	9.459999631469493;0.0	8.669977086942957;0.0	7.552933562462909;0.0	6.161048628123801;0.0	
7.197098405724145;0.0	9.296128591536636;0.0	7.844178649039932;0.0	7.219291271518476;0.0	6.059623830044668;0.0	
8.156557964343895;0.0	9.79172543957312;0.0	8.90024362371805;0.0	7.763246419333109;0.0	7.287953014832591;0.0	
7.984776838338937;0.0	9.914047054164918;0.0	9.127459211901893;0.0	7.0172766918118965;0.0	6.169271733094343;0.0	
7.3377878440257405;0.0	9.724289504502885;0.0	8.92761865338463;0.0	7.603912629050286;0.0	6.606289670977739;0.0	
8.75187873225401;0.0	9.835316021002779;0.0	8.180135584029536;0.0	7.687494677455068;0.0	6.551784483345387;0.0	
7.700548583578168;0.0	9.52964051934681;0.0	8.908402291723124;0.0	8.12142682664556;0.0	7.730519727433781;0.0	
7.892196756066445;0.0	9.597474548241662;0.0	8.723963742239997;0.0	7.594762843842589;0.0	6.957718126984537;0.0	
7.920412780552757;0.0	9.585788750999763;0.0	8.305222004021605;0.0	7.398714154203821;0.0	6.494335394973497;0.0	
8.357578774117707;0.0	9.507557065574625;0.0	8.209908836050063;0.0	7.120042286651385;0.0	6.793661227894183;0.0	
8.208950401885401;0.0	9.675946091083501;0.0	8.568141559370838;0.0	7.549266960520891;0.0	6.947830807827008;0.0	
8.056836155290746;0.0	10.029183537664938;0.0	9.288982699173156;0.0	6.987434518005827;0.0	6.157002049556091;0.0	
8.983728708705732;0.0	10.017649270053463;0.0	8.192587011139516;0.0	7.301340423235585;0.0	6.308197002769201;0.0	
9.027992491957217;0.0	9.961242423354049;0.0	8.574774913805312;0.0	8.056518328105787;0.0	7.349085189649433;0.0	
8.950673810969834;0.0	9.682758473510741;0.0	8.873942030793536;0.0	7.98554226266505;0.0	7.091304449068256;0.0	
7.806631773660727;0.0	9.468804595590548;0.0	8.495550751884787;0.0	7.287463482241933;0.0	6.38038143386109;0.0	
7.786424296495652;0.0	9.400907049737471;0.0	8.246670502435903;0.0	7.017309318345997;0.0	6.4447847908150955;0.0	
8.50407187833286;0.0	9.585295764731455;0.0	8.69394168841114;0.0	7.595316967773489;0.0	7.287859291486169;0.0	
7.94823905071275;0.0	9.829404708378663;0.0	9.129263929124894;0.0	6.961139968881773;0.0	6.666477210596857;0.0	
6.741791191960227;0.0	9.69688577770233;0.0	9.162131719066657;0.0	7.789420391347615;0.0	6.385231184515549;0.0	
8.309201612582074;0.0	10.217835210245306;0.0	7.982052574610807;0.0	7.308024538039368;0.0	6.681291821881297;0.0	
8.601514536432644;0.0	9.555959039853638;0.0	9.066917305328886;0.0	7.950477327618028;0.0	7.8095683279217365;0.0	
8.502373534471703;0.0	9.815461909165958;0.0	8.136994888576913;0.0	7.50816432156783;0.0	6.523144264764864;0.0	
6.566585829654732;0.0	9.837385263280005;0.0	8.41455444992488;0.0	7.152822366090184;0.0	6.526277261153259;0.0	
8.404676577903412;0.0	9.512826086846157;0.0	7.997151048636465;0.0	7.025330068021522;0.0	6.22880560870252;0.0	
8.518696934859362;0.0	9.902338042313426;0.0	9.057561725906423;0.0	7.869033833473151;0.0	7.388359957777088;0.0	
7.642747290287486;0.0	9.7897312228108;0.0	9.056040078275677;0.0	7.0628120810982455;0.0	6.492944471822309;0.0	
7.628738393620144;0.0	9.93067012644391;0.0	8.764163376430782;0.0	7.677970006761505;0.0	6.789275787123818;0.0	
8.306058678269384;0.0	10.137081741069993;0.0	8.327392860711207;0.0	7.6747198223702675;0.0	7.015494252147493;0.0	
8.632682403878336;0.0	9.575527058684024;0.0	8.78958600497553;0.0	8.02436564802218;0.0	7.451458478561639;0.0	
7.895896356647955;0.0	9.433366933888415;0.0	8.647720868929323;0.0	7.376031231605197;0.0	6.557644846567635;0.0	
7.312853293535702;0.0	9.833141655530408;0.0	8.555064200421853;0.0	6.918626369147646;0.0	6.23489591761101;0.0	
8.076076051851105;0.0	9.496150457972464;0.0	8.527066102791652;0.0	7.156311579499339;0.0	6.706790705431856;0.0	
7.438228386159681;0.0	9.867757359597334;0.0	9.063945915803133;0.0	7.251531600303643;0.0	7.2205655084843245;0.0	
7.630537540469128;0.0	9.885604577861047;0.0	9.299638922371527;0.0	6.983632634874492;0.0	6.273274297168878;0.0	
8.35709334525122;0.0	9.557067931097425;0.0	8.441800390926737;0.0	7.432121770949521;0.0	6.52830339415049;0.0	
7.974810225097248;0.0	9.748157392305243;0.0	8.455223908503463;0.0	7.94864540074374;0.0	7.499357170282186;0.0	
8.569734407369877;0.0	9.654911043396503;0.0	8.693135107606736;0.0	7.785280266864418;0.0	6.824678032423234;0.0	
8.269133847071569;0.0	9.84138154337296;0.0	8.48360962636799;0.0	7.413606323664603;0.0	6.362221722441694;0.0	
8.124603966809902;0.0	9.349648499257817;0.0	8.17564265926836;0.0	7.052971655013622;0.0	6.539708639998925;0.0	
8.50436280025045;0.0	9.997881151831086;0.0	8.904441655583462;0.0	7.750904008232373;0.0	7.4837323077151545;0.0	
7.642777527233735;0.0	9.543508248608997;0.0	9.126250090248893;0.0	6.557753248528651;0.0	6.249620647254486;0.0	
7.770974789923934;0.0	9.901976637056375;0.0	8.873182455411946;0.0	7.635775412849815;0.0	6.512358931519203;0.0	
8.737482892608716;0.0	9.59748898115159;0.0	8.078277728980385;0.0	7.609805941827218;0.0	6.304332970843235;0.0	
8.352879209671933;0.0	10.128929988771956;0.0	8.840657179928368;0.0	8.00405943727352;0.0	7.782962814309216;0.0	
8.037969519934872;0.0	9.462134946371187;0.0	8.641249783534798;0.0	7.459405985074725;0.0	6.482917247962075;0.0	
7.576598065921574;0.0	10.024063865312714;0.0	8.28761296135106;0.0	7.394773522127515;0.0	6.319612069056312;0.0	
8.172486108051732;0.0	9.234985211792813;0.0	8.252599712207303;0.0	6.729577541662873;0.0	6.471922101984144;0.0	
8.264242158173964;0.0	9.928252052171905;0.0	8.676243248379487;0.0	7.660533057511318;0.0	7.029695622202794;0.0	
